Salinidade	Regime	"Subcomitê
Sigla"	Subcomitê	Ponto	Oxigênio Dissolvido	Demanda Bioquímica de Oxigênio	Nitrogênio Amoniacal	Nitrato	Fósforo Total	Coliformes Termotolerantes	Classe final (P.80)
Doce	Lótico	LE	Subcomitê Leste	AN738	Classe 4	Classe 4	Classe 4	Classe 4	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	AN740	Ac. Classe 4	Classe 4	Classe 4	Classe 4	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	AN741	Ac. Classe 4	Classe 4	Classe 3	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	AN750	Classe 4	Classe 4	Classe 4	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	BM760	Ac. Classe 4	Classe 4	Classe 4	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	CC620	Classe 3	Classe 3	Classe 1	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	CC622	Ac. Classe 4	Classe 3	Classe 1	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	CC625	Classe 4	Classe 2	Classe 1	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	CC630	Classe 1	Classe 1	Classe 1	Classe 1	Classe 1	Classe 3	Classe 1
Doce	Lótico	LE	Subcomitê Leste	GP600	Classe 4	Classe 2	Classe 1	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	GP601	Classe 2	Classe 1	Classe 1	Classe 1	Classe 1	Classe 3	Classe 2
Doce	Lótico	LE	Subcomitê Leste	GX720	Classe 4	Classe 4	Classe 3	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	IB810	Ac. Classe 4	Classe 4	Classe 3	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	IR540	Ac. Classe 4	Classe 4	Classe 1	Classe 1	Classe 4	Classe 3	Classe 4
Doce	Lótico	LE	Subcomitê Leste	L1	Classe 2	Classe 3		Classe 1	Classe 1	Classe 2	Classe 2
Doce	Lótico	LE	Subcomitê Leste	L10	Classe 3	Classe 3		Classe 1	Classe 1	Classe 4	Classe 3
Doce	Lótico	LE	Subcomitê Leste	L11	Classe 3	Classe 3		Classe 1	Classe 1	Classe 4	Classe 3
Doce	Lótico	LE	Subcomitê Leste	L12	Classe 3	Classe 4		Classe 1	Classe 1	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	L13	Classe 2	Classe 3		Classe 1	Classe 1	Classe 3	Classe 3
Doce	Lótico	LE	Subcomitê Leste	L14	Classe 3	Classe 3		Classe 1	Classe 1	Classe 4	Classe 3
Doce	Lótico	LE	Subcomitê Leste	L15	Classe 2	Classe 3		Classe 1	Classe 1	Classe 2	Classe 2
Doce	Lótico	LE	Subcomitê Leste	L16	Classe 2	Classe 3		Classe 1	Classe 1	Classe 3	Classe 3
Doce	Lótico	LE	Subcomitê Leste	L17	Classe 2	Classe 3		Classe 1	Classe 1	Classe 3	Classe 3
Doce	Lótico	LE	Subcomitê Leste	L18	Classe 3	Classe 3		Classe 1	Classe 1	Classe 3	Classe 3
Doce	Lótico	LE	Subcomitê Leste	L19	Classe 3	Classe 3		Classe 1	Classe 1	Classe 2	Classe 3
Doce	Lótico	LE	Subcomitê Leste	L2	Classe 2	Classe 3		Classe 1	Classe 1	Classe 4	Classe 3
Doce	Lótico	LE	Subcomitê Leste	L20	Classe 3	Classe 3		Classe 1	Classe 1	Classe 4	Classe 3
Doce	Lótico	LE	Subcomitê Leste	L21	Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	L22	Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	L23	Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	L3	Classe 3	Classe 3		Classe 1	Classe 1	Classe 4	Classe 3
Doce	Lótico	LE	Subcomitê Leste	L4	Classe 3	Classe 3		Classe 1	Classe 1	Classe 4	Classe 3
Doce	Lótico	LE	Subcomitê Leste	L5	Classe 3	Classe 3		Classe 1	Classe 1	Classe 4	Classe 3
Doce	Lótico	LE	Subcomitê Leste	L6	Classe 4	Classe 4		Classe 1	Classe 1	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	L7	Classe 4	Classe 4		Classe 1	Classe 3	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	L8	Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	L9	Classe 3	Classe 3		Classe 1	Classe 1	Classe 4	Classe 3
Doce	Lótico	LE	Subcomitê Leste	MC965	Classe 1	Classe 1	Classe 1	Classe 1	Classe 1	Classe 3	Classe 1
Doce	Lótico	LE	Subcomitê Leste	MC967	Classe 1	Classe 1	Classe 1	Classe 1	Classe 3	Classe 4	Classe 3
Doce	Lótico	LE	Subcomitê Leste	MG580	Ac. Classe 4	Classe 4	Classe 3	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	MT820	Ac. Classe 4	Classe 4	Classe 3	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	MT821	Ac. Classe 4	Classe 4	Classe 3	Classe 4	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	RN560	Classe 3	Classe 3	Classe 1	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	SB998	Classe 1	Classe 2	Classe 1	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	LE	Subcomitê Leste	SR500	Classe 4	Classe 2	Classe 1	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	AC240	Ac. Classe 4	Classe 4	Classe 4	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	AC241	Ac. Classe 4	Classe 4	Classe 3	Classe 4	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	BT100	Ac. Classe 4	Classe 4	Classe 4	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	CB004	Ac. Classe 4	Classe 4	Classe 4	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	CB005	Ac. Classe 4	Classe 4	Classe 4	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	CH025	Ac. Classe 4	Classe 4	Classe 4	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	CH088	Ac. Classe 4	Classe 4	Classe 3	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	CM020	Ac. Classe 4	Classe 4	Classe 4	Classe 4	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	CN100	Ac. Classe 4	Classe 4	Classe 3	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	FR142	Ac. Classe 4	Classe 4	Classe 4	Classe 1	Classe 4	Classe 4	Classe 4
Salobra	Lêntico	OE	Subcomitê Oeste	GN050	Ac. Classe 3	SLE	Classe 3	Classe 1	Classe 3	Ac. Classe 3	Ac. Classe 3
Doce	Lótico	OE	Subcomitê Oeste	IA250	Classe 4	Classe 4	Classe 3	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	IA260	Ac. Classe 4	Classe 4	Classe 3	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	IJ200	Ac. Classe 4	Classe 4	Classe 3	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	IN450	Ac. Classe 4	Classe 3	Classe 1	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	IN460	Classe 4	Classe 3	Classe 1	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	JN820	Ac. Classe 4	Classe 4	Classe 4	Classe 4	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	MN000	Ac. Classe 4	Classe 4	Classe 3	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	MN001	Ac. Classe 4	Classe 4	Classe 1	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	MR040	Classe 4	Classe 4	Classe 3	Classe 4	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	MR043	Ac. Classe 4	Classe 4	Classe 4	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O1	Classe 4	Classe 3		Classe 1	Classe 1	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O10	Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O11	Ac. Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O12	Ac. Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O13	Ac. Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O14	Ac. Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O15	Ac. Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O16	Ac. Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O17	Ac. Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O18	Ac. Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O19	Ac. Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O2	Classe 4	Classe 4		Classe 1	Classe 3	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O20	Ac. Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O21	Ac. Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O22	Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Salobra	Lótico	OE	Subcomitê Oeste	O23	Ac. Classe 3	SLE		Classe 3	Classe 3	Ac. Classe 3	Ac. Classe 3
Doce	Lótico	OE	Subcomitê Oeste	O23a	Classe 4	Classe 3		Classe 1	Classe 1	Classe 2	Classe 3
Doce	Lótico	OE	Subcomitê Oeste	O23b	Ac. Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O3	Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O4	Classe 3	Classe 3		Classe 1	Classe 1	Classe 4	Classe 3
Doce	Lótico	OE	Subcomitê Oeste	O5	Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O6	Classe 4	Classe 4		Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O7	Classe 3	Classe 3		Classe 1	Classe 1	Classe 4	Classe 3
Doce	Lótico	OE	Subcomitê Oeste	O8	Classe 4	Classe 4		Classe 1	Classe 1	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	O9	Classe 4	Classe 4		Classe 1	Classe 1	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	PN180	Ac. Classe 4	Classe 4	Classe 4	Classe 1	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	PV981	Ac. Classe 4	Classe 4	Classe 3	Classe 4	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	PV982	Ac. Classe 4	Classe 4	Classe 4	Classe 4	Classe 4	Classe 4	Classe 4
Doce	Lótico	OE	Subcomitê Oeste	SC420	Classe 4	Classe 4	Classe 1	Classe 1	Classe 4	Classe 4	Classe 4
